Simulation,Team,Player_1_Name,Player_1_Position,Player_1_Team,Player_2_Name,Player_2_Position,Player_2_Team,Player_3_Name,Player_3_Position,Player_3_Team,Player_4_Name,Player_4_Position,Player_4_Team,Player_5_Name,Player_5_Position,Player_5_Team,Player_6_Name,Player_6_Position,Player_6_Team
1,Team 1,Christian McCaffrey,RB,San Francisco 49ers,Jahmyr Gibbs,RB,Detroit Lions,Marvin Harrison,WR,Arizona Cardinals,Brandon Aiyuk,WR,San Francisco 49ers,Trey McBride,TE,Arizona Cardinals,Kyler Murray,QB,Arizona Cardinals
1,Team 2,CeeDee Lamb,WR,Dallas Cowboys,Garrett Wilson,WR,NY Jets,Jonathan Taylor,RB,Indianapolis Colts,Mike Evans,WR,Tampa Bay Buccaneers,Dak Prescott,QB,Dallas Cowboys,Mark Andrews,TE,Baltimore Ravens
1,Team 3,Justin Jefferson,WR,Minnesota Vikings,Puka Nacua,WR,Los Angeles Rams,Drake London,WR,Atlanta Falcons,Kyren Williams,RB,Los Angeles Rams,David Njoku,TE,Cleveland Browns,Anthony Richardson,QB,Indianapolis Colts
1,Team 4,Tyreek Hill,WR,Miami Dolphins,Breece Hall,RB,NY Jets,Saquon Barkley,RB,Philadelphia Eagles,Jaylen Waddle,WR,Miami Dolphins,Jalen Hurts,QB,Philadelphia Eagles,Jake Ferguson,TE,Dallas Cowboys
1,Team 5,Ja'Marr Chase,WR,Cincinnati Bengals,A.J. Brown,WR,Philadelphia Eagles,Chris Olave,WR,New Orleans Saints,De'Von Achane,RB,Miami Dolphins,Tua Tagovailoa,QB,Miami Dolphins,Dallas Goedert,TE,Philadelphia Eagles
1,Team 6,Amon-Ra St. Brown,WR,Detroit Lions,Bijan Robinson,RB,Atlanta Falcons,Nico Collins,WR,Houston Texans,Deebo Samuel,WR,San Francisco 49ers,Brock Purdy,QB,San Francisco 49ers,Brock Bowers,TE,Las Vegas Raiders
2,Team 7,Christian McCaffrey,RB,San Francisco 49ers,Marvin Harrison,WR,Arizona Cardinals,Jahmyr Gibbs,RB,Detroit Lions,Brandon Aiyuk,WR,San Francisco 49ers,Caleb Williams,QB,Chicago Bears,Travis Kelce,TE,Kansas City Chiefs
2,Team 8,Justin Jefferson,WR,Minnesota Vikings,Garrett Wilson,WR,NY Jets,Drake London,WR,Atlanta Falcons,Derrick Henry,RB,Baltimore Ravens,Mark Andrews,TE,Baltimore Ravens,Jayden Daniels,QB,Washington Commanders
2,Team 9,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Chris Olave,WR,New Orleans Saints,De'Von Achane,RB,Miami Dolphins,Brock Bowers,TE,Las Vegas Raiders,Tua Tagovailoa,QB,Miami Dolphins
2,Team 10,Tyreek Hill,WR,Miami Dolphins,A.J. Brown,WR,Philadelphia Eagles,Nico Collins,WR,Houston Texans,Saquon Barkley,RB,Philadelphia Eagles,Trey McBride,TE,Arizona Cardinals,Kyler Murray,QB,Arizona Cardinals
2,Team 11,Amon-Ra St. Brown,WR,Detroit Lions,Bijan Robinson,RB,Atlanta Falcons,Jonathan Taylor,RB,Indianapolis Colts,Davante Adams,WR,Las Vegas Raiders,Sam LaPorta,TE,Detroit Lions,Jared Goff,QB,Detroit Lions
2,Team 12,Breece Hall,RB,NY Jets,Ja'Marr Chase,WR,Cincinnati Bengals,Deebo Samuel,WR,San Francisco 49ers,Jaylen Waddle,WR,Miami Dolphins,Brock Purdy,QB,San Francisco 49ers,David Njoku,TE,Cleveland Browns
3,Team 13,CeeDee Lamb,WR,Dallas Cowboys,Jahmyr Gibbs,RB,Detroit Lions,Marvin Harrison,WR,Arizona Cardinals,Deebo Samuel,WR,San Francisco 49ers,Joe Burrow,QB,Cincinnati Bengals,Jake Ferguson,TE,Dallas Cowboys
